,,,,
,,,,
,,,,
공 사 명 : 부지조성공사 3-1공구(정산),,,,
구       분,규     격,단위, 수량 ,비  고
,,,,
,,,,
1. 토공,,,,
2. 포장공,,,,
3. 우수공,,,,
4. 오수공,,,,
5. 상수공,,,,
6. 공동구,,,,
7. 전기/통신/가로등(전기공사 제외),,,,
8. Irrigation공(메인관로),,,,
9. 기타공,,,,
10. Priority,,,,
11. 오수중계펌프장,,,,
12. 우수빗물펌프장,,,,
,,,,
[  직 접 공 사 비 계 ],,,,
,,,,
,,,,
,,,,
1. 토공,,,,
1. 표토제거,,,,
   1) 표토제거,T=30cm,m3, - ,
2. 절토 및 상차,,, - ,
   1) 절토 및 상차,,m3," 87,457.00 ",
3. 성토,,, - ,
   1) 비다짐구간,,m3," 225,434.00 ",
   2) 다짐 구간,다짐도 95%,m3," 8,165.00 ",
4. 잔토처리(토사이동),,, - ,
   1) 잔토처리(토사이동),,m3," 205,612.00 ",
5. Selected Soil 함수비 조정,,, - ,
   1) Selected Soil 함수비 조정,,m3, - ,
6. 부대공,,, - ,
   1) 작업로 및 가도보수,,mon, - ,
   2) 규준틀,,ea, - ,
,,, - ,
,,, - ,
2. 포장공,,, - ,
1. 기층/보조기층,,, - ,
   1) 기층,,m3," 34,068.00 ",
   2) 보조기층,골재치환 포함,m3," 9,562.00 ",
2. 도로 중분대/경계석,,, - ,
   1) 도로경계블럭,150x150x1000,m," 32,150.00 ",
   2) 중분대측구용블럭,150x200x1000,m, 684.00 ,
3. 보차도 경계블럭,,, - ,
   1) 보차도 경계블럭,"200x300x1000, 150x200x1000",m," 12,178.00 ",
   2) 보차도 경계블럭 도색,"200x300x1000, 150x200x1000",m," 7,055.00 ",
4. 아스콘 포장,,, - ,
    1) 표층,#78,m2," 178,805.00 ",
    2) 중간층,#67,m2," 146,628.00 ",
5. 보도포장,,, - ,
   1) 보도포장,"T=6cm, 보조기층 포함",m2," 49,719.00 ",
6. 차선도색,,, - ,
   1) 차선도색,,m2," 13,228.00 ",
7. 도로표지판 등,,, - ,
   1) 삼각표지판,,, - ,
       (1). 터파기,,m3, 187.00 ,
       (2). 되메우기,,m3, 160.00 ,
       (3). 기초설치,,ea, 110.00 ,
   2) 원형/팔각표지판,,, - ,
       (1). 터파기,,m3, 271.00 ,
       (2). 되메우기,,m3, 232.00 ,
       (3). 기초설치,,ea, 159.00 ,
   3) 방향표지판,,, - ,
       (1). 터파기,,m3," 1,620.00 ",
       (2). 되메우기,,m3," 1,309.00 ",
       (3). 기초설치,,ea, 32.00 ,
8. 도로 표지병 및 데리네이터,,ea," 1,475.00 ",
9. 주차장 휀스,,m," 1,339.00 ",
10. 신호등,,, - ,
   1) 교통 신호등,기초 및 전선관 부설포함,개소, 16.00 ,
   2) 보행 신호등,기초 및 전선관 부설포함,개소, 32.00 ,
   3) 핸드홀,현장타설,ea, 25.00 ,
   4) 신호등 제어반,현장타설,ea, 4.00 ,
,,, - ,
3. 우수공,,, - ,
1. 토공,,, - ,
   1) 터파기,,m3," 6,796.00 ",
   2) 되메우기(기계+인력),,m3," 2,614.00 ",
   3) 되메우기(인력),,m3," 2,785.00 ",
2. 관로공,,, - ,
