,,,,
,,,,
,,,,
공 사 명 : 부지조성공사 3-2공구 잔여(정산),,,,
구       분,규     격,단위, 수량 ,비  고
,,,,
,,,,
1. 토공,,,,
2. 포장공,,,,
3. 우수공,,,,
4. 오수공,,,,
5. 상수공,,,,
6. 공동구,,,,
7. 전기/통신/가로등(전기공사 제외),,,,
8. Irrigation공(메인관로),,,,
9. 기타공,,,,
10. Priority,,,,
11. 오수중계펌프장,,,,
12. 우수빗물펌프장,,,,
,,,,
[  직 접 공 사 비 계 ],,,,
,,,,
,,,,
,,,,
1. 토공,0,0,,
1. 표토제거,,,,
   1) 표토제거,T=30cm,m3, - ,
   2) 표토제거,"T=30cm, Ph4~Ph6",m3, - ,
2. 절토 및 상차,,, - ,
   1) 절토 및 상차,,m3, - ,
3. 성토,,, - ,
   1) 비다짐구간,,m3," 66,520.00 ",
   2) 다짐 구간(노상치환 포함),다짐도 95%,m3," 9,166.00 ",
4. 잔토처리(토사이동),,, - ,
   1) 잔토처리(토사이동),,m3," 149,669.00 ",
6. 부대공,,, - ,
   1) 작업로 및 가도보수,,mon, - ,
   2) 규준틀,,ea, 89.00 ,
,,, - ,
2. 포장공,0,0, - ,
1. 기층/보조기층,,, - ,
   1) 기층,,m3," 16,800.00 ",
   2) 보조기층,,m3," 51,254.00 ",
2. 도로 중분대/경계석,,, - ,
   1) 도로경계블럭,150x150x1000,m," 14,568.00 ",
   2) 중분대측구용블럭,150x200x1000,m," 2,225.00 ",
3. 보차도 경계블럭,,, - ,
   1) 보차도 경계블럭,"200x300x1000, 150x200x1000",m," 14,127.00 ",
   2) 보차도 경계블럭 도색,"200x300x1000, 150x200x1000",m," 19,119.00 ",
4. 아스콘 포장,,, - ,
    1) 표층,#78,m2," 96,983.00 ",
    2) 중간층,#67,m2," 121,680.00 ",
5. 보도포장,,, - ,
   1) 보도포장,"T=6cm, 보조기층 포함",m2," 32,939.00 ",
6. 차선도색,,, - ,
   1) 차선도색,,m2," 8,831.00 ",
7. 도로표지판 등,,, - ,
   1) 삼각표지판,,, - ,
       (1). 터파기,,m3, 182.00 ,
       (2). 되메우기,,m3, 156.00 ,
       (3). 기초설치,,ea, 107.00 ,
       (4). 표지판설치,,ea, 107.00 ,
   2) 원형/팔각표지판,,, - ,
       (1). 터파기,,m3, 238.00 ,
       (2). 되메우기,,m3, 204.00 ,
       (3). 기초설치,,ea, 140.00 ,
       (4). 표지판설치,,ea, 140.00 ,
   3) 방향표지판,,, - ,
       (1). 터파기,,m3," 1,113.00 ",
       (2). 되메우기,,m3, 900.00 ,
       (3). 기초설치,,ea, 22.00 ,
       (4). 표지판설치,,ea, 22.00 ,
   4) 도로 표지병 및 데리네이터,,ea, 792.00 ,
8. 신호등,,, - ,
   1) 교통 신호등,기초 및 전선관 부설포함,개소, 18.00 ,
   2) 보행 신호등,기초 및 전선관 부설포함,개소, 32.00 ,
   3) 핸드홀,현장타설,ea, 34.00 ,
   4) 신호등 제어반 기초,현장타설,ea, 5.00 ,
,,, - ,
3. 우수공,0,0, - ,
1. 토공,,, - ,
   1) 터파기,,m3," 3,936.00 ",
   2) 되메우기(기계+인력),,m3," 1,483.00 ",
